Subject,SubjectGroup,CommonSubjectLabel,qualification,year,SubjectTaken,SCQFLevel
Mathematics,Maths,Math,Higher,2001,Yes,6
Mathematics,Maths,Math,Higher,2003,Yes,6
Mathematics,Maths,Math,Higher,2004,Yes,6
Mathematics,Maths,Math,Higher,2005,Yes,6
Mathematics,Maths,Math,Higher,2006,Yes,6
Mathematics,Maths,Math,Higher,2007,Yes,6
Mathematics,Maths,Math,Higher,2008,Yes,6
Mathematics,Maths,Math,Higher,2009,Yes,6
Mathematics,Maths,Math,Higher,2010,Yes,6
Mathematics,Maths,Math,Higher,2011,Yes,6
Mathematics,Maths,Math,Higher,2012,Yes,6
Mathematics,Maths,Math,Higher,2013,Yes,6
Mathematics,Maths,Math,Higher,2014,Yes,6
Mathematics,Maths,Math,Higher,2015,Yes,6
Mathematics,Maths,Math,Higher,2016,Yes,6
Mathematics,Maths,Math,Higher,2017,Yes,6
Mathematics,Maths,Math,Higher,2018,Yes,6
Mathematics,Maths,Math,Higher,2019,Yes,6
Mathematics,Maths,Math,Higher,2020,Yes,6
Mathematics,Maths,Math,Higher,2021,Yes,6
Mathematics,Maths,Math,NewHigher,2000,Yes,6
Mathematics,Maths,Math,NewHigher,2001,Yes,6
Mathematics,Maths,Math,NewHigher,2002,Yes,6
Mathematics,Maths,Math,NewHigher,2015,Yes,6
Mathematics,Maths,Math,AdvancedHigher,2001,Yes,7
Mathematics,Maths,Math,AdvancedHigher,2002,Yes,7
Mathematics,Maths,Math,AdvancedHigher,2003,Yes,7
Mathematics,Maths,Math,AdvancedHigher,2004,Yes,7
Mathematics,Maths,Math,AdvancedHigher,2005,Yes,7
Mathematics,Maths,Math,AdvancedHigher,2006,Yes,7
Mathematics,Maths,Math,AdvancedHigher,2007,Yes,7
Mathematics,Maths,Math,AdvancedHigher,2008,Yes,7
Mathematics,Maths,Math,AdvancedHigher,2009,Yes,7
Mathematics,Maths,Math,AdvancedHigher,2010,Yes,7
Mathematics,Maths,Math,AdvancedHigher,2011,Yes,7
Mathematics,Maths,Math,AdvancedHigher,2012,Yes,7
Mathematics,Maths,Math,AdvancedHigher,2013,Yes,7
Mathematics,Maths,Math,AdvancedHigher,2014,Yes,7
Mathematics,Maths,Math,AdvancedHigher,2015,Yes,7
Mathematics,Maths,Math,AdvancedHigher,2016,Yes,7
Mathematics,Maths,Math,AdvancedHigher,2017,Yes,7
Mathematics,Maths,Math,AdvancedHigher,2018,Yes,7
Mathematics,Maths,Math,AdvancedHigher,2019,Yes,7
Mathematics,Maths,Math,AdvancedHigher,2020,Yes,7
Mathematics,Maths,Math,AdvancedHigher,2021,Yes,7
Mathematics (Revised),Maths,Math,Higher,1987,Yes,6
Mathematics (Revised),Maths,Math,Higher,1988,Yes,6
Mathematics (Revised),Maths,Math,Higher,1989,Yes,6
Mathematics (Revised),Maths,Math,Higher,1990,Yes,6
Mathematics (Revised),Maths,Math,Higher,1991,Yes,6
Mathematics (Revised),Maths,Math,Higher,1992,Yes,6
Mathematics (Revised),Maths,Math,Higher,1993,Yes,6
Mathematics (Revised),Maths,Math,Higher,1994,Yes,6
Mathematics (Revised),Maths,Math,Higher,1995,Yes,6
Mathematics I,Maths,Math,CSYS,1986,Yes,7
Mathematics I,Maths,Math,CSYS,1987,Yes,7
Mathematics I,Maths,Math,CSYS,1988,Yes,7
Mathematics I,Maths,Math,CSYS,1989,Yes,7
Mathematics I,Maths,Math,CSYS,1990,Yes,7
Mathematics I,Maths,Math,CSYS,1991,Yes,7
Mathematics I,Maths,Math,CSYS,1992,Yes,7
Mathematics I,Maths,Math,CSYS,1993,Yes,7
Mathematics I,Maths,Math,CSYS,1994,Yes,7
Mathematics I,Maths,Math,CSYS,1995,Yes,7
Mathematics I,Maths,Math,CSYS,1996,Yes,7
Mathematics I,Maths,Math,CSYS,1997,Yes,7
Mathematics I,Maths,Math,CSYS,1998,Yes,7
Mathematics I,Maths,Math,CSYS,1999,Yes,7
Mathematics I,Maths,Math,CSYS,2000,Yes,7
Mathematics I,Maths,Math,CSYS,2001,Yes,7
Mathematics I (Revised),Maths,Math,CSYS,1992,Yes,7
Mathematics II,Maths,Math,CSYS,1986,Yes,7
Mathematics II,Maths,Math,CSYS,1987,Yes,7
Mathematics II,Maths,Math,CSYS,1988,Yes,7
Mathematics II,Maths,Math,CSYS,1989,Yes,7
Mathematics II,Maths,Math,CSYS,1990,Yes,7
Mathematics II,Maths,Math,CSYS,1991,Yes,7
Mathematics II,Maths,Math,CSYS,1992,Yes,7
Mathematics II,Maths,Math,CSYS,1993,Yes,7
Mathematics II,Maths,Math,CSYS,1994,Yes,7
Mathematics II,Maths,Math,CSYS,1995,Yes,7
Mathematics II,Maths,Math,CSYS,1996,Yes,7
Mathematics II,Maths,Math,CSYS,1997,Yes,7
Mathematics II,Maths,Math,CSYS,1998,Yes,7
Mathematics II,Maths,Math,CSYS,1999,Yes,7
Mathematics II,Maths,Math,CSYS,2000,Yes,7
